Manufacturer,Calories,Protein,Fat,Fiber,Sodium,Carbohydrates,Sugars,Potassium
A,100,4,1,0,0,16,3,95
G,111.3636364,2.318181818,1.363636364,1.272727273,200.4545455,14.72727273,7.954545455,85.22727273
K,108.6956522,2.652173913,0.608695652,2.739130435,174.7826087,15.13043478,7.565217391,103.0434783
N,86.66666667,2.833333333,0.166666667,4,37.5,16,1.833333333,120.6666667
P,108.8888889,2.444444444,0.888888889,2.777777778,146.1111111,13.22222222,8.777777778,113.8888889
Q,95,2.625,1.75,1.3375,92.5,10,5.25,74.375
R,115,2.5,1.25,1.875,198.125,17.625,6.125,89.25
